Iteration #, Size of Array, Size of Tiles, Time (Seconds)
2, 1000, 144, 3.97
2, 1000, 145, 3.97
2, 1000, 146, 3.94
2, 1000, 147, 3.96
2, 1000, 148, 3.93
2, 1000, 149, 3.94
2, 1000, 150, 3.97
2, 1000, 151, 3.93
2, 1000, 152, 3.95
2, 1000, 153, 3.93
2, 1000, 154, 3.94
2, 1000, 155, 3.95
2, 1000, 156, 3.93
2, 1000, 157, 3.95
2, 1000, 158, 3.93
2, 1000, 159, 3.92
2, 1000, 160, 3.95
2, 1000, 161, 3.94
2, 1000, 162, 3.94
2, 1000, 163, 3.94
2, 1000, 164, 3.98
2, 1000, 165, 3.95
2, 1000, 166, 3.94
2, 1000, 167, 3.93
2, 1000, 168, 3.95
2, 1000, 169, 4.00
2, 1000, 170, 3.95
2, 1000, 171, 3.94
2, 1000, 172, 3.94
2, 1000, 173, 3.95
2, 1000, 174, 3.99
2, 1000, 175, 3.97
2, 1000, 176, 3.92
2, 1000, 177, 3.94
2, 1000, 178, 3.95
2, 1000, 179, 3.99
2, 1000, 180, 3.96
2, 1000, 181, 3.94
2, 1000, 182, 3.92
2, 1000, 183, 3.94
2, 1000, 184, 3.98
2, 1000, 185, 3.96
2, 1000, 186, 3.93
2, 1000, 187, 3.92
2, 1000, 188, 3.92
2, 1000, 189, 3.93
2, 1000, 190, 3.92
2, 1000, 191, 3.93
2, 1000, 192, 3.92
2, 1000, 193, 3.92
2, 1000, 194, 3.92
2, 1000, 195, 3.93
2, 1000, 196, 3.93
2, 1000, 197, 3.93
2, 1000, 198, 3.93
2, 1000, 199, 3.92
2, 1000, 200, 3.93
2, 1000, 201, 3.93
2, 1000, 202, 3.93
2, 1000, 203, 3.93
2, 1000, 204, 3.93
2, 1000, 205, 3.93
2, 1000, 206, 3.93
2, 1000, 207, 3.93
2, 1000, 208, 3.93
2, 1000, 209, 3.93
2, 1000, 210, 3.93
2, 1000, 211, 3.93
2, 1000, 212, 3.93
2, 1000, 213, 3.93
2, 1000, 214, 3.93
2, 1000, 215, 3.93
2, 1000, 216, 3.92
2, 1000, 217, 3.94
2, 1000, 218, 3.93
2, 1000, 219, 3.93
2, 1000, 220, 3.93
2, 1000, 221, 3.93
2, 1000, 222, 3.93
2, 1000, 223, 3.93
2, 1000, 224, 3.93
2, 1000, 225, 3.93
2, 1000, 226, 3.93
2, 1000, 227, 3.92
2, 1000, 228, 3.92
2, 1000, 229, 3.93
2, 1000, 230, 3.93
2, 1000, 231, 3.93
2, 1000, 232, 3.92
2, 1000, 233, 3.93
2, 1000, 234, 3.91
2, 1000, 235, 3.93
2, 1000, 236, 3.92
2, 1000, 237, 3.92
2, 1000, 238, 3.93
2, 1000, 239, 3.92
2, 1000, 240, 3.90
2, 1000, 241, 3.93
2, 1000, 242, 3.92
2, 1000, 243, 3.92
2, 1000, 244, 3.92
2, 1000, 245, 3.93
2, 1000, 246, 3.91
2, 1000, 247, 3.92
2, 1000, 248, 3.92
2, 1000, 249, 3.92
3, 1500, 2, 25.09
3, 1500, 3, 16.02
3, 1500, 4, 12.79
3, 1500, 5, 12.14
3, 1500, 6, 11.97
3, 1500, 7, 11.83
3, 1500, 8, 11.87
3, 1500, 9, 11.83
3, 1500, 10, 11.83
3, 1500, 11, 12.08
3, 1500, 12, 12.14
3, 1500, 13, 12.16
3, 1500, 14, 12.15
3, 1500, 15, 12.16
3, 1500, 16, 12.24
3, 1500, 17, 12.24
3, 1500, 18, 12.36
3, 1500, 19, 12.39
3, 1500, 20, 13.10
3, 1500, 21, 12.42
3, 1500, 22, 12.45
3, 1500, 23, 12.45
3, 1500, 24, 12.50
3, 1500, 25, 12.47
3, 1500, 26, 12.53
3, 1500, 27, 12.56
3, 1500, 28, 12.54
3, 1500, 29, 12.52
3, 1500, 30, 12.72
3, 1500, 31, 12.53
3, 1500, 32, 12.59
3, 1500, 33, 12.56
3, 1500, 34, 13.13
3, 1500, 35, 12.62
3, 1500, 36, 12.66
3, 1500, 37, 12.72
